timestamp,MaxTemp,MinTemp,AverageTemp,CloudCoverTotal
19400904T0000,25.150246,11.0602455,18.142328,5.1249995
19400905T0000,26.730246,12.970245,19.628576,3.8333333
19400906T0000,27.580246,13.340245,20.346495,6.9166665
19400907T0000,27.990246,13.530245,20.693579,6.6083336
19400908T0000,26.360245,14.930245,20.052332,15.279167
19400909T0000,18.350245,12.430245,15.838578,35.541668
19400910T0000,11.900246,9.850245,11.115663,88.583336
19400911T0000,14.510245,7.8702455,11.270246,75.625
19400912T0000,13.240245,6.3002453,10.09233,62.708332
19400913T0000,16.840246,4.750245,11.948162,81.708336
19400914T0000,14.410245,11.350245,12.633578,94.708336
19400915T0000,13.490245,10.5602455,12.240663,87.083336
19400916T0000,15.530245,9.400246,13.074412,73.5
19400917T0000,21.470245,13.330245,16.594828,58.166668
19400918T0000,18.680244,10.260245,15.206078,51.841663
19400919T0000,23.320246,9.430245,16.433994,44.36667
19400920T0000,20.310246,13.580245,16.77691,27.9625
19400921T0000,20.940245,13.620245,17.711912,22.449999
19400922T0000,22.230246,15.120245,18.187746,23.683329
19400923T0000,18.910246,15.170245,16.758162,59.61667
19400924T0000,16.950245,12.880245,15.101495,83.375
19400925T0000,13.500245,10.190246,11.758996,99.75
19400926T0000,14.010245,8.420245,10.811497,86.4625
19400927T0000,17.850245,6.960245,12.216079,15.591667
19400928T0000,16.400246,10.390245,13.286915,73.78333
19400929T0000,10.460245,5.770245,8.734828,44.166668
19400930T0000,11.510245,4.860245,7.8248286,56.083332
19401001T0000,11.900246,3.5002456,7.691078,50.75
19401002T0000,10.050245,6.8702455,8.472747,62.916668
19401003T0000,16.040245,8.290245,11.745662,62.166668
19401004T0000,14.530245,7.790245,11.355247,63.0
19401005T0000,16.170246,6.920245,11.685246,36.483334
19401006T0000,18.250246,10.080245,14.161912,54.966663
19401007T0000,16.270247,11.150246,14.676079,78.25
19401008T0000,15.590245,9.540245,11.821912,93.791664
19401009T0000,18.830246,8.670245,12.641494,35.741665
19401010T0000,15.8102455,9.040245,11.66816,82.208336
19401011T0000,10.5602455,7.6802454,9.856912,83.916664
19401012T0000,12.360246,8.430245,10.289412,84.0
19401013T0000,12.460245,7.7602453,10.141078,79.025
19401014T0000,16.570246,7.3302455,11.001911,32.541668
19401015T0000,16.040245,7.3302455,11.272744,14.5
19401016T0000,13.930245,7.0102453,10.111495,43.9875
19401017T0000,17.120245,9.900246,12.736079,70.98334
19401018T0000,17.170246,6.7402453,11.632747,16.808332
19401019T0000,15.910245,7.3002453,10.353162,18.541668
19401020T0000,15.440246,6.8502455,10.883161,13.429168
19401021T0000,15.350245,7.750245,11.42858,14.458333
19401022T0000,13.850245,7.1002455,10.386912,52.045837
19401023T0000,11.590245,4.3102455,8.508995,63.083332
19401024T0000,10.700245,2.8402452,6.896912,45.287502
19401025T0000,7.2402453,3.6202455,5.424828,92.375
19401026T0000,3.9202452,1.7402455,3.007745,92.875
19401027T0000,4.3902454,1.1502454,2.4910786,84.833336
19401028T0000,3.8502455,0.4202454,2.0677454,61.25
19401029T0000,3.6402454,-0.64975464,1.6781621,69.125
19401030T0000,2.7302456,-0.6897546,0.8577454,90.916664
19401031T0000,9.370245,-1.0397546,4.836495,70.583336
19401101T0000,13.330245,9.660245,11.810664,99.208336
19401102T0000,11.550245,9.470245,10.482329,75.541664
19401103T0000,13.530245,10.700245,11.919414,72.308334
19401104T0000,18.390245,12.260245,16.007328,87.666664
19401105T0000,12.270246,8.110246,10.011912,88.083336
19401106T0000,11.340245,6.860245,9.451912,61.458332
19401107T0000,9.050245,6.5702453,7.5177455,76.375
19401108T0000,7.040245,2.8902454,5.2494116,46.11667
19401109T0000,8.280246,-0.5397546,3.1327455,38.833332
19401110T0000,7.7602453,1.2402453,4.981912,98.916664
19401111T0000,8.430245,6.5602455,7.589411,72.916664
19401112T0000,11.470245,8.570246,9.855246,96.041664
19401113T0000,12.270246,7.5902452,9.569411,71.166664
19401114T0000,11.030245,6.4302454,9.073996,98.041664
19401115T0000,7.520245,4.6402454,6.4589953,94.5
19401116T0000,11.080245,4.1402454,6.6548285,53.220837
19401117T0000,7.5802455,2.3102455,5.2256618,61.483334
19401118T0000,9.050245,1.4602454,4.5239954,47.620834
19401119T0000,8.330246,0.6602454,4.3073287,28.758333
19401120T0000,9.610246,1.2702454,5.398995,54.412502
19401121T0000,12.850245,3.1002455,7.935246,48.041668
19401122T0000,11.790245,2.7402453,7.5123286,43.933334
19401123T0000,7.380245,3.3702455,5.6189957,85.166664
19401124T0000,5.1202455,-0.74975455,2.4285789,47.875
19401125T0000,6.940245,-1.1497546,1.831912,35.241665
19401126T0000,4.2302456,-1.3297546,1.4052453,20.75
19401127T0000,8.170245,-1.4597546,1.9248285,26.120836
19401128T0000,3.5002456,-0.05975461,1.4860789,58.333332
19401129T0000,2.0002456,-2.3397546,0.09441206,64.25
19401130T0000,1.4102454,-1.9997545,-0.08017122,45.958332
19401201T0000,0.9602454,-5.769755,-2.0214214,2.6666667
19401202T0000,-0.34975457,-7.4797544,-4.2010045,9.858333
19401203T0000,0.34024543,-7.119755,-3.8439214,12.950001
19401204T0000,1.2902454,-4.7997546,-2.4735043,26.29167
19401205T0000,2.6502452,-3.0497546,0.974412,90.166664
19401206T0000,6.5902452,2.9502454,4.329412,84.75
19401207T0000,2.8602452,0.7602454,1.9869119,88.208336
19401208T0000,2.7202454,1.1102455,1.7969121,72.708336
19401209T0000,3.8302455,1.6902454,2.6227453,81.625
19401210T0000,5.040245,3.3602452,4.150662,85.0
19401211T0000,3.6102452,0.5102454,2.035662,78.958336
19401212T0000,1.8602453,-0.1397546,1.273162,73.666664
19401213T0000,1.1902454,-5.619755,-0.9818379,68.041664
19401214T0000,-3.3197546,-11.029755,-6.8989215,51.291668
19401215T0000,-2.2497544,-13.669755,-8.828504,6.9583335
19401216T0000,-6.5497546,-15.009755,-12.035587,1.0
19401217T0000,-6.999755,-17.789755,-13.576005,3.2375
19401218T0000,-8.499755,-18.839754,-14.875588,6.491667
19401219T0000,-1.4197546,-15.359755,-5.8089204,89.5
19401220T0000,-1.5897547,-11.319755,-5.0101714,35.870834
19401221T0000,-5.1897545,-15.459755,-10.423088,8.295833
19401222T0000,-6.019755,-13.679754,-10.63017,22.6625
19401223T0000,-6.5097547,-11.909755,-9.245172,70.375
19401224T0000,-8.459755,-13.849754,-11.393505,57.541668
19401225T0000,-6.1497545,-16.259754,-11.03392,21.041666
19401226T0000,-6.4297547,-16.149755,-11.996838,13.766666
19401227T0000,-3.6397548,-16.049755,-7.6385055,89.916664
19401228T0000,-0.6897546,-7.0297546,-3.8910048,91.458336
19401229T0000,-0.5397546,-4.9197545,-2.8805883,83.083336
19401230T0000,3.9202452,-2.4697547,0.3348287,89.875
19401231T0000,8.510245,3.9302454,5.806495,94.875
19410101T0000,5.2402453,-0.03975457,3.0335782,86.583336
19410102T0000,2.1302454,-9.829755,-5.754338,93.583336
19410103T0000,-9.799755,-11.109755,-10.368087,93.958336
19410104T0000,-8.679754,-11.099754,-10.058505,76.583336
19410105T0000,-7.3797545,-13.869755,-10.1410055,49.541668
19410106T0000,-7.7697544,-16.319756,-11.869339,49.208332
19410107T0000,-4.8997545,-9.879755,-7.4514213,93.458336
19410108T0000,-6.5897546,-11.869755,-9.405171,22.0
19410109T0000,-5.329755,-11.759755,-7.931004,75.916664
19410110T0000,-4.6997547,-13.339755,-8.073505,13.708333
19410111T0000,-5.1497545,-14.329755,-10.843922,1.3499999
19410112T0000,-3.8797545,-15.299755,-10.844337,0.33333334
19410113T0000,-4.309755,-18.429754,-12.511838,0.375
19410114T0000,-6.3797545,-17.829754,-12.619755,23.291666
19410115T0000,-5.1497545,-12.929754,-9.239753,94.875
19410116T0000,-8.299755,-10.069755,-9.152673,97.708336
19410117T0000,-6.079755,-12.159755,-8.306005,80.5
19410118T0000,-0.09975457,-12.179754,-5.700172,87.0
19410119T0000,6.0302453,2.3102455,4.674412,84.458336
19410120T0000,9.300245,2.1702454,4.975662,91.375
19410121T0000,5.5102453,0.5902454,2.9235785,58.675
19410122T0000,4.2002454,0.5702454,2.9810789,71.541664
