timestamp,MaxTemp,MinTemp,AverageTemp,CloudCoverTotal
20100101T0000,4.690245,0.8002454,3.233162,71.4375
20100102T0000,0.7202454,-4.459755,-1.2993379,50.375
20100103T0000,1.0002453,-6.5897546,-3.4664214,20.625
20100104T0000,-2.2797546,-6.869755,-4.7697544,36.166668
20100105T0000,-2.0097547,-6.979755,-4.4972544,63.0
20100106T0000,-1.1697546,-3.9197545,-2.371838,89.0
20100107T0000,1.2102454,-5.4097548,-2.040171,71.416664
20100108T0000,-0.77975464,-4.2597547,-2.086838,98.083336
20100109T0000,-4.059755,-5.019755,-4.4705877,91.541664
20100110T0000,-3.1697545,-7.1797547,-4.687671,80.958336
20100111T0000,-2.2197547,-5.0297546,-3.822255,53.958332
20100112T0000,-1.7597545,-5.019755,-3.2951717,40.108334
20100113T0000,2.2402453,-3.3797545,0.10232868,95.833336
20100114T0000,3.5102453,-1.0697546,0.8689954,53.175
20100115T0000,3.2002454,-0.61975455,0.88232857,51.291668
20100116T0000,4.8702455,0.23024541,1.1785786,81.833336
20100117T0000,7.1002455,3.8802452,5.8919125,64.041664
20100118T0000,6.5302453,-1.2497545,3.1223288,60.25
20100119T0000,1.7302454,-1.8697547,-0.68058795,49.791668
20100120T0000,1.1302454,-1.9797546,-0.6110046,68.375
20100121T0000,4.920245,1.7202454,3.0010788,86.375
20100122T0000,4.170245,-0.98975456,1.8573289,71.583336
20100123T0000,3.2402453,-1.6897546,0.6844122,42.81667
20100124T0000,2.7202454,-1.9497546,0.42816207,66.5
20100125T0000,2.6502452,0.5802454,1.5902454,89.75
20100126T0000,0.4902454,-2.6197548,-0.8276713,78.916664
20100127T0000,-1.9597546,-4.5297546,-3.226838,48.345837
20100128T0000,1.2002454,-2.1597548,-0.5414212,90.416664
20100129T0000,2.9302454,1.0702454,2.0339952,97.333336
20100130T0000,1.8402454,-1.9097546,-0.06225464,54.833332
20100131T0000,-0.4597546,-3.3997545,-2.0768378,59.833332
20100201T0000,0.5002454,-4.4497547,-1.5568377,64.375
20100202T0000,3.8702455,0.6502454,2.3235788,94.041664
20100203T0000,6.670245,3.3902454,4.749412,94.541664
20100204T0000,8.480246,-0.72975457,2.8689954,40.470837
20100205T0000,5.3402452,1.9502454,3.891495,97.708336
20100206T0000,7.0302453,1.1102455,3.6927454,75.333336
20100207T0000,4.2702456,0.010245383,2.607329,85.791664
20100208T0000,2.0202456,-1.1297545,0.42357865,44.0
20100209T0000,1.9002454,-1.6797546,0.60649544,83.0
20100210T0000,-2.0897546,-9.289755,-5.1022553,82.375
20100211T0000,-3.3297548,-9.549755,-5.7339215,88.958336
20100212T0000,-2.0497546,-4.2997546,-3.2905877,89.25
20100213T0000,-1.5697545,-4.709755,-2.8560047,83.125
